rank,title,Previous Rank,Revenues (USDM),Revenue Change,Profits (USDM),Profit Change,Assets (USDM),Mkt Value as of 3/29/18 (USDM),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
327,Public Service Enterprise Group,306,"USD9,084 ",0.30%,"USD1,574.00 ",77.50%,"USD42,716 ","USD25,359 ","12,945",Ralph Izzo,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Newark,NJ,40.735657,-74.1723667
328,Boston Scientific,327,"USD9,048 ",7.90%,USD104.00 ,-70.00%,"USD19,042 ","USD37,688 ","29,000",Michael F. Mahoney,"Chairman, President &amp;  Chief Executive Officer",Health Care,Medical Products and Equipment,15,Marlboro,MA,42.3459271,-71.5522874
329,OReilly Automotive,323,"USD8,978 ",4.50%,"USD1,133.80 ",9.30%,"USD7,572 ","USD20,607 ","60,365",Gregory D. Johnson,"President, Chief Executive Officer &amp;  Director",Retailing,Specialty Retailers: Other,9,Springfield,MO,37.2089572,-93.2922989
330,Charles Schwab,357,"USD8,960 ",17.20%,"USD2,354.00 ",24.60%,"USD243,274 ","USD70,313 ","17,600",Walter W. Bettinger II,"President, Chief Executive Officer &amp;  Director",Financials,Securities,20,SF,CA,37.7749295,-122.4194155
331,Global Partners,334,"USD8,921 ",8.30%,USD58.80 ,-,"USD2,320 ",USD522 ,"2,000",Eric Slifka,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,12,Waltham,MA,42.3764852,-71.2356113
332,PVH,335,"USD8,915 ",8.70%,USD537.80 ,-2.00%,"USD11,886 ","USD11,649 ","28,050",Emanuel Chirico,Chairman &amp;  Chief Executive Officer,Apparel,Apparel,8,New York,NY,40.7127753,-74.0059728
333,Avis Budget Group,319,"USD8,848 ",2.20%,USD361.00 ,121.50%,"USD17,699 ","USD3,792 ","26,300",Larry D. De Shon,"President, Chief Executive Officer &amp;  Director",Retailing,"Automotive Retailing, Services",21,Parsippany-Troy Hills,NJ,40.8652865,-74.4173877
334,Targa Resources,402,"USD8,815 ",31.70%,USD54.00 ,-,"USD14,389 ","USD9,629 ","2,130",Joe Bob Perkins,Chairman &amp;  Chief Executive Officer,Energy,Pipelines,10,Houston,TX,29.7604267,-95.3698028
335,Hertz Global Holdings,296,"USD8,803 ",-7.10%,USD327.00 ,-,"USD20,058 ","USD1,662 ","37,000",Kathryn V. Marinello,"President, Chief Executive Officer &amp;  Director",Retailing,"Automotive Retailing, Services",11,Estero,FL,26.438136,-81.8067523
336,Calpine,400,"USD8,752 ",30.30%,(USD339.00),-468.50%,"USD16,453 ",-,"2,290",John B. Hill III,"President, Chief Executive Officer &amp;  Director",Energy,Energy,17,Houston,TX,29.7604267,-95.3698028
337,Mutual of Omaha Insurance,342,"USD8,732 ",10.60%,USD862.60 ,141.90%,"USD42,429 ",-,"5,896",James T. Blackledge,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",22,Omaha,NE,41.2565369,-95.9345034
338,Crown Holdings,333,"USD8,698 ",5.00%,USD323.00 ,-34.90%,"USD10,663 ","USD6,816 ","24,342",Timothy J. Donahue,"President, Chief Executive Officer &amp;  Director",Materials,"Packaging, Containers",24,Philadelphia,PA,39.9525839,-75.1652215
339,Peter Kiewit Sons,324,"USD8,678 ",1.20%,USD371.00 ,-6.30%,"USD5,710 ",-,"22,000",Bruce E. Grewcock,"President, Chief Executive Officer &amp;  Director",Engineering &amp;  Construction,"Engineering, Construction",19,Omaha,NE,41.2565369,-95.9345034
340,Dicks Sporting Goods,340,"USD8,591 ",8.40%,USD323.40 ,12.50%,"USD4,204 ","USD3,765 ","30,300",Edward W. Stack,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,9,Coraopolis,PA,40.5184013,-80.1667247
341,PulteGroup,353,"USD8,573 ",11.80%,USD447.20 ,-25.80%,"USD9,687 ","USD8,439 ","4,810",Ryan R. Marshall,"President, Chief Executive Officer &amp;  Director",Engineering &amp;  Construction,Homebuilders,16,Atlanta,GA,33.7489954,-84.3879824
342,Navistar International,337,"USD8,570 ",5.70%,USD30.00 ,-,"USD6,135 ","USD3,451 ","11,400",Troy A. Clarke,"Chairman, President &amp;  Chief Executive Officer",Industrials,Construction and Farm Machinery,22,Lisle,IL,41.801141,-88.0747875
343,Thrivent Financial for Lutherans,316,"USD8,528 ",-2.80%,USD558.40 ,-5.00%,"USD95,001 ",-,"3,622",Bradford L. Hewitt,Chief Executive Officer &amp;  Director,Financials,"Insurance: Life, Health (Mutual)",24,Minneapolis,MN,44.977753,-93.2650108
344,DCP Midstream,,"USD8,462 ",465.30%,USD229.00 ,-26.60%,"USD13,878 ","USD5,033 ","2,650",Wouter T. van Kempen,"Chairman, President &amp;  Chief Executive Officer",Energy,Pipelines,1,Denver,CO,39.7392358,-104.990251
345,Air Products &amp; Chemicals,294,"USD8,442 ",-11.40%,"USD3,000.40 ",375.40%,"USD18,467 ","USD34,818 ","15,150",Seifi Ghasemi,"Chairman, President &amp;  Chief Executive Officer",Chemicals,Chemicals,24,Allentown,PA,40.6022939,-75.4714098
346,Veritiv,331,"USD8,365 ",0.50%,(USD13.30),-163.30%,"USD2,708 ",USD617 ,"8,900",Mary A. Laschinger,Chairman &amp;  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,3,Atlanta,GA,33.7489954,-84.3879824
347,AGCO,370,"USD8,307 ",12.10%,USD186.40 ,16.40%,"USD7,972 ","USD5,157 ","20,462",Martin H. Richenhagen,"Chairman, President &amp;  Chief Executive Officer",Industrials,Construction and Farm Machinery,17,Duluth,GA,34.0028786,-84.1446376
348,Genworth Financial,329,"USD8,295 ",-0.90%,USD817.00 ,-,"USD105,297 ","USD1,413 ","3,500",Thomas J. McInerney,"President, Chief Executive Officer &amp;  Director",Financials,"Insurance: Life, Health (stock)",13,Richmond,VA,37.5407246,-77.4360481
349,Univar,338,"USD8,254 ",2.20%,USD119.80 ,-,"USD5,733 ","USD3,920 ","8,600",David C. Jukes,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,3,Downers Grove,IL,41.8089191,-88.0111746
350,News Corp.,332,"USD8,139 ",-2.20%,(USD738.00),-512.30%,"USD14,552 ","USD9,272 ","26,000",Robert J. Thomson,Chairman &amp;  Chief Executive Officer,Media,"Publishing, Printing",4,New York,NY,40.7127753,-74.0059728
351,SpartanNash,350,"USD8,128 ",5.10%,(USD52.80),-193.00%,"USD2,056 ",USD620 ,"11,950",David M. Staples,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Food and Grocery,8,Byron Center,MI,42.8122508,-85.7228061
352,Westlake Chemical,507,"USD8,041 ",58.40%,"USD1,304.00 ",226.90%,"USD12,076 ","USD14,385 ","8,799",Albert Yuan Chao,"President, Chief Executive Officer &amp;  Director",Chemicals,Chemicals,1,Houston,TX,29.7604267,-95.3698028
353,Williams,367,"USD8,031 ",7.10%,"USD2,174.00 ",-,"USD46,352 ","USD20,567 ","5,425",Alan S. Armstrong,"President, Chief Executive Officer &amp;  Director",Energy,Energy,24,Tulsa,OK,36.1539816,-95.992775
354,Lam Research,440,"USD8,014 ",36.10%,"USD1,697.80 ",85.70%,"USD12,123 ","USD33,105 ","9,400",Martin B. Anstice,Chairman &amp;  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,3,Fremont,CA,37.5482697,-121.9885719
355,Alaska Air Group,438,"USD7,933 ",33.80%,"USD1,034.00 ",27.00%,"USD10,740 ","USD7,646 ","23,156",Bradley D. Tilden,"Chairman, President &amp;  Chief Executive Officer",Transportation,Airlines,5,Seattle,WA,47.6062095,-122.3320708
356,Jones Lang LaSalle,391,"USD7,932 ",16.60%,USD254.20 ,-20.10%,"USD8,015 ","USD7,930 ","81,900",Christian Ulbrich,"President, Chief Executive Officer &amp;  Director",Financials,Real estate,4,Chicago,IL,41.8781136,-87.6297982
357,Anixter International,359,"USD7,927 ",4.00%,USD109.00 ,-9.50%,"USD4,252 ","USD2,522 ","8,900",Robert J. Eck,Chairman &amp;  Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,16,Glenview,IL,42.0697509,-87.7878408
358,Campbell Soup,339,"USD7,890 ",-0.90%,USD887.00 ,57.50%,"USD7,726 ","USD13,021 ","18,000",Denise M. Morrison,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Food Consumer Products,24,Camden,NJ,39.9259463,-75.1196199
359,Interpublic Group,345,"USD7,882 ",0.50%,USD579.00 ,-4.80%,"USD12,695 ","USD8,854 ","50,200",Michael I. Roth,Chairman &amp;  Chief Executive Officer,Business Services,"Advertising, marketing",21,New York,NY,40.7127753,-74.0059728
360,Dover,392,"USD7,830 ",15.20%,USD811.70 ,59.50%,"USD10,658 ","USD15,183 ","29,000",Richard J. Tobin,"President, Chief Executive Officer &amp;  Director",Industrials,Industrial Machinery,24,Downers Grove,IL,41.8089191,-88.0111746
361,Zimmer Biomet Holdings,352,"USD7,824 ",1.80%,"USD1,813.80 ",492.90%,"USD25,965 ","USD22,151 ","18,200",Bryan C. Hanson,"President, Chief Executive Officer &amp;  Director",Health Care,Medical Products and Equipment,3,Warsaw,IN,41.2381,-85.8530469
362,Dean Foods,351,"USD7,795 ",1.10%,USD61.60 ,-48.60%,"USD2,504 ",USD787 ,"16,000",Ralph P. Scozzafava,Chairman &amp;  Chief Executive Officer,"Food, Beverages &amp;  Tobacco",Food Consumer Products,20,Dallas,TX,32.7766642,-96.7969879
363,Foot Locker,348,"USD7,782 ",0.20%,USD284.00 ,-57.20%,"USD3,961 ","USD5,379 ","32,175",Richard A. Johnson,"Chairman, President &amp;  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,24,New York,NY,40.7127753,-74.0059728
364,Eversource Energy,358,"USD7,752 ",1.50%,USD988.00 ,4.80%,"USD36,220 ","USD18,671 ","8,084",James J. Judge,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,23,Springfield,MA,42.1014831,-72.589811
365,Alliance Data Systems,378,"USD7,719 ",8.10%,USD788.70 ,52.90%,"USD30,685 ","USD11,806 ","20,000",Edward J. Heffernan,"President, Chief Executive Officer &amp;  Director",Business Services,Financial Data Services,4,Plano,TX,33.0198431,-96.6988856
366,Fifth Third Bancorp,389,"USD7,713 ",12.00%,"USD2,194.00 ",40.30%,"USD142,193 ","USD21,812 ","18,125",Greg D. Carmichael,"Chairman, President &amp;  Chief Executive Officer",Financials,Commercial Banks,19,Cincinnati,OH,39.1031182,-84.5120196
367,Quest Diagnostics,366,"USD7,709 ",2.60%,USD772.00 ,19.70%,"USD10,503 ","USD13,619 ","45,000",Stephen H. Rusckowski,"Chairman, President &amp;  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,18,Secaucus,NJ,40.7895453,-74.0565298
368,EMCOR Group,360,"USD7,688 ",1.80%,USD227.20 ,24.90%,"USD3,966 ","USD4,549 ","32,000",Anthony J. Guzzi,"President, Chief Executive Officer &amp;  Director",Engineering &amp;  Construction,"Engineering, Construction",18,Norwalk,CT,41.117744,-73.4081575
369,W.R. Berkley,354,"USD7,685 ",0.40%,USD549.10 ,-8.80%,"USD24,300 ","USD8,836 ","7,722",W. Robert Berkley Jr.,"President, Chief Executive Officer &amp;  Director",Financials,Insurance: Property and Casualty (Stock),15,Greenwich,CT,41.0262417,-73.6281964
370,WESCO International,373,"USD7,679 ",4.70%,USD163.50 ,60.90%,"USD4,736 ","USD2,920 ","9,100",John J. Engel,"Chairman, President &amp;  Chief Executive Officer",Wholesalers,Wholesalers: Diversified,20,Pittsburgh,PA,40.4406248,-79.9958864
371,Coty,558,"USD7,650 ",75.90%,(USD422.20),-369.10%,"USD22,548 ","USD13,723 ","22,000",Camillo Pane,Chairman &amp;  Chief Executive Officer,Household Products,Household and Personal Products,1,New York,NY,40.7127753,-74.0059728
372,WEC Energy Group,368,"USD7,649 ",2.40%,"USD1,203.70 ",28.20%,"USD31,591 ","USD19,784 ","8,129",Gale E. Klappa,Chairman &amp;  Chief Executive Officer,Energy,Utilities: Gas and Electric,9,Milwaukee,WI,43.0389025,-87.9064736
373,Masco,372,"USD7,644 ",3.90%,USD533.00 ,8.60%,"USD5,488 ","USD12,590 ","26,000",Keith J. Allman,"President, Chief Executive Officer &amp;  Director",Household Products,"Home Equipment, Furnishings",24,Livonia,MI,42.36837,-83.3527097
374,DXC Technology,,"USD7,607 ",7.10%,(USD123.00),-149.00%,"USD8,663 ","USD28,720 ","60,000",J. Michael Lawrie,"Chairman, President &amp;  Chief Executive Officer",Technology,Information Technology Services,1,Tysons,VA,38.9187222,-77.2310925
375,Auto-Owners Insurance,398,"USD7,604 ",12.20%,USD645.70 ,-8.60%,"USD23,694 ",-,"5,227",Jeffrey S. Tagsold,Chief Executive Officer &amp;  Director,Financials,Insurance: Property and Casualty (Mutual),16,Lansing,MI,42.732535,-84.5555347
376,Jones Financial (Edward Jones),403,"USD7,597 ",14.60%,USD872.00 ,16.90%,"USD17,176 ",-,45000,James D. Weddle,Chief Executive Officer &amp;  Managing Partner,Financials,Securities,6,Des Peres,MO,38.59722,-90.448126
377,Liberty Media,491,"USD7,594 ",43.90%,"USD1,354.00 ",99.10%,"USD41,996 ","USD13,816 ","4,393",Gregory B. Maffei,"President, Chief Executive Officer &amp;  Director",Media,Entertainment,2,Englewood,CO,39.6477653,-104.9877597
378,Erie Insurance Group,382,"USD7,535 ",7.40%,USD857.50 ,15.60%,"USD20,670 ",-,"5,260",Timothy G. NeCastro,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),15,Erie,PA,42.1292241,-80.085059
379,Hershey,369,"USD7,515 ",1.00%,USD783.00 ,8.70%,"USD5,554 ","USD20,774 ","16,135",Michele G. Buck,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Food Consumer Products,24,Hershey,PA,40.2859239,-76.6502468
380,PPL,365,"USD7,447 ",-0.90%,"USD1,128.00 ",-40.70%,"USD41,479 ","USD19,635 ","12,512",William H. Spence,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Allentown,PA,40.6022939,-75.4714098
381,Huntington Ingalls Industries,380,"USD7,441 ",5.30%,USD479.00 ,-16.40%,"USD6,374 ","USD11,539 ","38,000",C. Michael Petters,"President, Chief Executive Officer &amp;  Director",Aerospace &amp;  Defense,Aerospace and Defense,6,Newport News,VA,37.0870821,-76.4730122
382,Mosaic,377,"USD7,409 ",3.40%,(USD107.20),-136.00%,"USD18,633 ","USD9,358 ","8,500",James C. O'Rourke,"President, Chief Executive Officer &amp;  Director",Chemicals,Chemicals,13,Plymouth,MN,45.0105194,-93.4555093
383,J.M. Smucker,346,"USD7,392 ",-5.40%,USD592.30 ,-14.00%,"USD15,640 ","USD14,087 ","7,140",Mark T. Smucker,"President, Chief Executive Officer &amp;  Director","Food, Beverages &amp;  Tobacco",Food Consumer Products,8,Orrville,OH,40.8436663,-81.7640212
384,Delek US Holdings,480,"USD7,350 ",35.70%,USD288.80 ,-,"USD5,935 ","USD3,416 ","3,941",Ezra Uzi Yemin,"Chairman, President &amp;  Chief Executive Officer",Energy,Petroleum Refining,4,Brentwood,TN,36.0331164,-86.7827772
385,Newmont Mining,328,"USD7,348 ",-12.30%,(USD98.00),-,"USD20,563 ","USD20,853 ","12,569",Gary J. Goldberg,"President, Chief Executive Officer &amp;  Director",Energy,"Mining, Crude-Oil Production",15,Greenwood Village,CO,39.6172101,-104.9508141
386,Constellation Brands,408,"USD7,332 ",12.00%,"USD1,535.10 ",45.50%,"USD18,602 ","USD44,379 ","8,700",Robert S. Sands,Chairman &amp;  Chief Executive Officer,"Food, Beverages &amp;  Tobacco",Beverages,6,Victor,NY,42.9825633,-77.4088794
387,Ryder System,394,"USD7,330 ",8.00%,USD790.60 ,201.20%,"USD11,452 ","USD3,867 ","36,100",Robert E. Sanchez,"Chairman, President &amp;  Chief Executive Officer",Transportation,"Trucking, Truck Leasing",24,Miami,FL,25.7616798,-80.1917902
388,National Oilwell Varco,375,"USD7,304 ",0.70%,(USD237.00),-,"USD20,206 ","USD13,993 ","31,605",Clay C. Williams,"Chairman, President &amp;  Chief Executive Officer",Energy,"Oil and Gas Equipment, Services",13,Houston,TX,29.7604267,-95.3698028
389,Adobe Systems,443,"USD7,302 ",24.70%,"USD1,694.00 ",44.90%,"USD14,536 ","USD106,413 ","17,973",Shantanu Narayen,"Chairman, President &amp;  Chief Executive Officer",Technology,Computer Software,2,San Jose,CA,37.3382082,-121.8863286
390,LifePoint Health,374,"USD7,263 ",-0.10%,USD102.40 ,-16.00%,"USD6,286 ","USD1,832 ","42,000",William F. Carpenter III,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Medical Facilities,4,Brentwood,TN,36.0331164,-86.7827772
391,Tractor Supply,396,"USD7,256 ",7.00%,USD422.60 ,-3.30%,"USD2,869 ","USD7,807 ","21,000",Gregory A. Sandfort,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,5,Brentwood,TN,36.0331164,-86.7827772
392,Thor Industries,540,"USD7,247 ",58.20%,USD374.30 ,45.90%,"USD2,558 ","USD6,069 ","17,800",Robert W. Martin,"President, Chief Executive Officer &amp;  Director",Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,1,Elkhart,IN,41.6819935,-85.9766671
393,Dana,447,"USD7,209 ",23.70%,USD111.00 ,-82.70%,"USD5,644 ","USD3,741 ","30,100",James K. Kamsickas,"President, Chief Executive Officer &amp;  Director",Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,24,Maumee,OH,41.5628294,-83.6538244
394,Weyerhaeuser,341,"USD7,196 ",-8.90%,USD582.00 ,-43.30%,"USD18,059 ","USD26,463 ","9,300",Doyle R. Simons,"President, Chief Executive Officer &amp;  Director",Materials,Forest and Paper Products,24,Seattle,WA,47.6062095,-122.3320708
395,J.B. Hunt Transport Services,407,"USD7,190 ",9.70%,USD686.30 ,58.80%,"USD4,465 ","USD12,858 ","24,681",John N. Roberts III,"President, Chief Executive Officer &amp;  Director",Transportation,"Trucking, Truck Leasing",6,Lowell,AR,36.2553543,-94.1307587
396,Darden Restaurants,385,"USD7,170 ",3.40%,USD479.10 ,27.80%,"USD5,504 ","USD10,531 ","178,729",Eugene I. Lee Jr.,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure",Food Services,22,Orlando,FL,28.5383355,-81.3792365
397,Yum China Holdings,399,"USD7,144 ",5.80%,USD403.00 ,-19.70%,"USD4,263 ","USD16,009 ","450,000",Joey Wat,Chairman &amp;  Chief Executive Officer,"Hotels, Restaurants &amp;  Leisure",Food Services,2,Plano,TX,33.0198431,-96.6988856
398,Blackstone Group,503,"USD7,119 ",38.90%,"USD1,470.80 ",41.50%,"USD34,429 ","USD21,058 ","2,360",Stephen A. Schwarzman,Chairman &amp;  Chief Executive Officer,Financials,Diversified Financials,3,New York,NY,40.7127753,-74.0059728
399,Berry Global Group,413,"USD7,095 ",9.30%,USD340.00 ,44.10%,"USD8,476 ","USD7,191 ","23,000",Thomas E. Salmon,Chairman &amp;  Chief Executive Officer,Materials,"Packaging, Containers",2,Evansville,IN,37.9715592,-87.5710898
400,Builders FirstSource,421,"USD7,034 ",10.50%,USD38.80 ,-73.10%,"USD3,006 ","USD2,264 ","15,000",M. Chad Crow,"President, Chief Executive Officer &amp;  Director",Materials,"Building Materials, Glass",2,Dallas,TX,32.7766642,-96.7969879
401,Activision Blizzard,406,"USD7,017 ",6.20%,USD273.00 ,-71.70%,"USD18,668 ","USD51,177 ","9,800",Robert A. Kotick,Chairman &amp;  Chief Executive Officer,Technology,Entertainment,2,Santa Monica,CA,34.0194543,-118.4911912
402,JetBlue Airways,403,"USD7,015 ",5.80%,"USD1,147.00 ",51.10%,"USD9,781 ","USD6,540 ","17,424",Robin Hayes,"President, Chief Executive Officer &amp;  Director",Transportation,Airlines,6,,NY,40.744679,-73.9485424
403,Amphenol,424,"USD7,011 ",11.50%,USD650.50 ,-21.00%,"USD10,004 ","USD26,311 ","70,000",R. Adam Norwitt,"President, Chief Executive Officer &amp;  Director",Technology,Network and Other Communications Equipment,4,Wallingford,CT,41.4570108,-72.8230736
404,A-Mark Precious Metals,395,"USD6,990 ",3.00%,USD7.10 ,-23.60%,USD479 ,USD86 ,126,Gregory N. Roberts,Chairman &amp;  Chief Executive Officer,Materials,Miscellaneous,4,El Segundo,CA,33.9191799,-118.4164652
405,Spirit AeroSystems Holdings,393,"USD6,983 ",2.80%,USD354.90 ,-24.40%,"USD5,268 ","USD9,595 ","15,500",Thomas C. Gentile III,"President, Chief Executive Officer &amp;  Director",Aerospace &amp;  Defense,Aerospace and Defense,4,Wichita,KS,37.6871761,-97.330053
406,R.R. Donnelley &amp; Sons,388,"USD6,940 ",0.60%,(USD34.40),-,"USD3,905 ",USD612 ,"42,700",Daniel L. Knotts,"President, Chief Executive Officer &amp;  Director",Media,"Publishing, Printing",24,Chicago,IL,41.8781136,-87.6297982
407,Harris,363,"USD6,939 ",-7.80%,USD553.00 ,70.70%,"USD10,090 ","USD19,149 ","17,000",William M. Brown,"Chairman, President &amp;  Chief Executive Officer",Aerospace &amp;  Defense,Aerospace and Defense,14,Melbourne,FL,28.0836269,-80.6081089
408,Expeditors Intl. of Washington,429,"USD6,921 ",13.50%,USD489.30 ,13.60%,"USD3,117 ","USD11,087 ","16,500",Jeffrey S. Musser,"President, Chief Executive Officer &amp;  Director",Transportation,Transportation and Logistics,11,Seattle,WA,47.6062095,-122.3320708
409,Discovery,412,"USD6,873 ",5.80%,(USD337.00),-128.20%,"USD22,555 ","USD11,156 ","7,000",David M. Zaslav,"President, Chief Executive Officer &amp;  Director",Media,Entertainment,5,Silver Spring,MD,38.9906657,-77.026088
410,Owens-Illinois,401,"USD6,869 ",2.50%,USD180.00 ,-13.90%,"USD9,756 ","USD3,538 ","26,500",Andres A. Lopez,"President, Chief Executive Officer &amp;  Director",Materials,"Packaging, Containers",24,Perrysburg,OH,41.556996,-83.627157
411,Sanmina,414,"USD6,869 ",6.00%,USD138.80 ,-26.10%,"USD3,847 ","USD1,863 ","41,250",Robert K. Eulau,Chairman &amp;  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,18,San Jose,CA,37.3382082,-121.8863286
